,Dizi İsimleri,Yapım Yılı,Bölüm Sayısı,Sezon Sayısı,Yönetmen,Senarist,Platform,Türler,Aile,Dram,Komedi,Aksiyon,Polisiye,Tarihi,Romantik,Yapım Şirketi,Başroller,Gösterim Süresi,Besteci,Ödüllü Yönetmen,Ödüllü Aktör,İhraç,Sonuç
558,Diriliş Ertuğrul,2014,150,5,Metin Günay,Mehmet Bozdağ,TRT 1,"['Tarihî', 'Kurgu', 'Aksiyon', 'Macera', 'Dram']",0,1,0,1,0,1,0,Tekden Film,"Engin Altan Düzyatan,Kaan Taşaner,Hülya Darcan,Esra Bilgiç,Didem Balçın,Serdar Gökhan,Hakan Vanlı,Serdar Deniz,Levent Öktem,Cemal Hünal",120,Zeynep Alasya,0,0,1,Kısmen Olgun
559,Düşler ve Umutlar,2014,5,1,Serpil Kurtça,Oya Yüce,FOX,['Dram'],0,1,0,0,0,0,0,Limon Film,"Berkehan Tüter,Mustafa Uğurlu,Çağdaş Onur Öztürk,Denise Capezza,Elçin Sangu",98,Unknown,0,0,0,Başarısız
560,Elif,2014,940,5,Fulya Yavuzoğlu,Unknown,Kanal 7,['Dram'],0,1,0,0,0,0,0,Unknown,"Selin Sezgin,Volkan Çolpan,Isabella Damla Güvenilir",70,Unknown,0,0,0,Kısmen Olgun
561,Filinta,2014,56,2,Osman Kaya,Ömer Genç,TRT 1,"['Aksiyon', 'Polisiye', 'Tarihî']",0,0,0,1,1,1,0,Es Film,"Onur Tuna,Berrak Tüzünataç,Hakan Kurtaş,Nur Fettahoğlu,Asena Tuğal,Hâzım Körmükçü,Serhat Tutumluer",110,Tamer Çıray,0,0,0,Kısmen Başarılı
562,Gönül İşleri,2014,28,1,Türkan Derya,Necati Şahin,Star TV,"['Dram', 'Aile']",1,1,0,0,0,0,0,TMC Film,"Sinem Kobal,Selma Ergeç,Bennu Yıldırımlar,Timuçin Esen",120,Unknown,0,1,0,Başarısız
563,Güllerin Savaşı,2014,68,2,Emre Kabakuşak,Melis Civelek,Kanal D,['Dram'],0,1,0,0,0,0,0,Medyapım,"Damla Sönmez,Barış Kılıç,Canan Ergüder",105,Unknown,1,0,0,Kısmen Başarılı
564,Güzel Köylü,2014,52,1,Mustafa Şevki Doğan,Baykut Badem,Star TV,"['Aile', 'Romantik komedi']",1,0,1,0,0,0,1,Gold Film,"Gizem Karaca,Berk Cankat,Mehmet Ali Nuroğlu,Zerrin Sümer,Ahmet Mümtaz Taylan,Ali İpin",120,Unknown,0,0,0,Başarısız
565,Hayat Ağacı,2014,13,1,Barış Yöş,Volkan Yazıcı,TRT 1,['Aile'],1,0,0,0,0,0,0,Focus Film,"Fikret Kuşkan,İdil Fırat,Özge Özberk,Onur Saylak",100,Unknown,0,0,0,Başarısız
566,Hayat Yolunda,2014,13,1,Feride Kaytan,Hasan Cömert,Kanal D,"['Dram','Romantik']",0,1,0,0,0,0,1,D Productions,"Engin Öztürk,Nur Fettahoğlu,İpek Karapınar,Burak Yamantürk,İlker İnanoğlu,Sinem Öztürk",84,Unknown,0,0,0,Başarısız
567,Her Sevda Bir Veda,2014,4,1,Dilek Keser,Gökhan Horzum,Show TV,"['Aşk', 'Dram']",0,1,0,0,0,0,1,C Yapım,"Nik Xhelilaj,Elçin Sangu,Devrim Evin,Cemal Hünal,Melisa Aslı Pamuk,Gizem Ayaz,Civan Canova,Jale Arıkan,Engin Benli",100,Alpay Göltekin,0,0,0,Başarısız
568,Hom Ofis,2014,4,1,Emre Kavuk,Birol Güven,TV8,['Komedi'],0,0,1,0,0,0,0,Acun MedyaMint,"Cengiz Bozkurt,Devrim Yakut,Ani İpekkaya,Emin Gümüşkaya,Samet Göksü,Ozan Uygun,Çağlar Bade Türe,Zeynep Sevi Yılmaz,Mesut Can Tomay",100,Unknown,0,1,0,Başarısız
569,Kaçak Gelinler,2014,29,1,İnci Balabanoğlu,Engin Elgün,Star TV ,"['Komedi', 'Romantik']",0,0,1,0,0,0,1,NTC Medya,"Selin Şekerci,Açelya Topaloğlu,Deniz Baysal",110,Cem Özkan,0,0,0,Başarısız
570,Kaderimin Yazıldığı Gün,2014,50,2,Ulaş İnaç,Muharrem Buhara,Star TV,"['Aşk', 'Dram']",0,1,0,0,0,0,1,O3 Medya,"Özcan Deniz,Hatice Şendil,Begüm Kütük Yaşaroğlu,Gürbey İleri",110,Aytekin Ataş,0,1,0,Kısmen Başarılı
571,Kara Para Aşk,2014,54,2,Ahmet Katıksız,Eylem Canpolat,atv,"['Aksiyon', 'Polisiye', 'Dram']",0,1,0,1,1,0,0,Ay Yapım,"Engin Akyürek,Tuba Büyüküstün,Erkan Can,Saygın Soysal,Nebahat Çehre,Burak Tamdoğan",130,Toygar Işıklı,0,0,0,Kısmen Başarılı
572,Kardeş Payı,2014,35,2,Selçuk Aydemir,Selçuk Aydemir,Star TV,"['Komedi', 'Aile']",1,0,1,0,0,0,0,NTC Medya,"Ahmet Kural,Murat Cemcir,Seda Bakan",70,Unknown,0,0,0,Kısmen Başarılı
573,Kertenkele,2014,85,3,Kartal Çidamlı,Hakan Kandal,atv,"['Komedi', 'Aşk', 'Aksiyon', 'Polisiye', 'Dram']",0,1,1,1,1,0,1,Yapım Atölyesi,"Timur Acar,Sera Tokdemir,Erdinç Gülener,Sinan Çalışkanoğlu,Umut Oğuz",120,Mustafa Ceceli,0,0,0,Başarılı
574,Kızıl Elma,2014,28,2,Mustafa Şevki Doğan,Süleyman Çobanoğlu,TRT 1,"['Aksiyon', 'Kurgu']",0,0,0,1,0,0,0,Sinegraf,"Furkan Palalı,Pelin Akil,Aslıhan Güner,Burak Sergen,Zeynep Eronat,Erdal Cindoruk",100,Aria,0,0,0,Kısmen Başarılı
575,Kiraz Mevsimi,2014,59,2,Filiz Gülmez Pakman,Unknown,FOX,"['Aşk', 'Gençlik', 'Romantik komedi']",0,0,1,0,0,0,1,Süreç Film,"Özge Gürel,Serkan Çayoğlu,Dağhan Külegeç,Nilperi Şahinkaya",100,Volkan Akmehmet,0,0,0,Kısmen Başarılı
576,Kocamın Ailesi,2014,57,2,Kemal Uzun,Nuray Uslu,FOX,"['Aile', 'Romantik komedi', 'Dram']",1,1,1,0,0,0,1,Mia Yapım,"Gökhan Alkan,Yeliz Kuvancı,Selen Seyven",135,Unknown,0,0,0,Kısmen Başarılı
577,Kurt Seyit ve Şura,2014,21,2,Hilal Saral,Ece Yörenç,Star TV,"['Drama', 'Tarihî']",0,1,0,0,0,1,1,Ay Yapım,"Kıvanç Tatlıtuğ,Farah Zeynep Abdullah,Birkan Sokullu,Fahriye Evcen,Ushan Çakır,Elçin Sangu",90,Toygar Işıklı,0,1,0,Kısmen Başarılı
578,Küçük Ağa,2014,50,2,Aysun Akyüz,Ahmet Yurdakul,Kanal D,"['Aile', 'Komedi']",1,0,1,0,0,0,0,Erler Film,"Birce Akalay,Emir Berke Zincidi,Sarp Levendoğlu,Zeki Alasya",100,Unknown,0,0,1,Kısmen Başarılı
579,Not Defteri,2014,13,1,Ilgaz Giritlioğlu,Alphan Dikmen,FOX,['Gençlik'],0,0,0,0,0,0,0,Avşar Film,"Fatih Al,Ebru Özkan,Ekin Mert Daymaz,Tarık Özcan Ündüz,Beste Kökdemir",100,Harems,0,0,0,Başarısız
580,O Hayat Benim,2014,131,4,Merve Girgin,Gül Abus Semerci,FOX,"['Aşk', 'Drama']",0,1,0,0,0,0,1,Pastel Film,"Ezgi Asaroğlu,Keremcem,Ceren Moray",170,Unknown,0,0,0,Başarılı
581,Paramparça,2014,97,3,Altan Dönmez,Yıldız Tunç,Star TV,"['Aile', 'Drama']",1,1,0,0,0,0,1,Endomel Shine Turkey,"Nurgül Yeşilçay,Erkan Petekkaya,Ebru Özkan,Barış Falay",130,Ayşe Önder,1,1,0,Başarılı
582,Reaksiyon,2014,13,1,Onur Tan,Ozan Aksungur,Star TV,"['Aksiyon', 'Macera', 'Dram', 'Derin devlet']",0,1,0,1,0,0,0,Reaksiyon Film,"Erdal Beşikçioğlu,İbrahim Çelikkol,Nehir Erdoğan,Selen Soyder,Yurdaer Okur,İsmail Demirci",80,Unknown,0,0,0,Başarısız
583,Roman Havası,2014,6,1,Hakan Arslan,Fethi Kantarcı,Show TV,"['Komedi', 'Romantik', 'Aile']",1,0,1,0,0,0,1,Erler Film,"Oya Başar,Levent Ülgen,Petek Dinçöz,Erkan Şahin,Cezmi Baskın,Günay Karacaoğlu,Lalizer Kemaloğlu,Boğaç Aksoy,Gökhan Şahin,Gülay Baltacı",100,Unknown,0,0,0,Başarısız
584,Ruhumun Aynası,2014,7,1,Bülent İşbilen,Zehra Çelenk,FOX,"['Komedi', 'Aile', 'Romantik']",1,0,1,0,0,0,1,Bando Yapım,"Tuba Ünsal,Filiz Ahmet,Özgürcan Çevik,Engin Alkan,Suzan Aksoy,Murat Akkoyunlu,Barış Yalçın,Bora Akkaş,Ayşen Gruda,Aliye Uzunatağan",98,Unknown,0,0,0,Başarısız
585,Sungurlar,2014,39,2,Engin Koç,Samim Utku,Samanyolu TV,"['Askeri', 'Dram', 'Aksiyon', 'Savaş']",0,1,0,1,1,0,0,Unknown,"Mert Kılıç,Bora Karakul,Dilara Büyükbayraktar,Merve Anlağan,Mehmet Küçük,Okan Kemal Özkan",120,Edip Emre,0,0,0,Kısmen Başarılı
586,Şeref Meselesi,2014,26,1,Altan Dönmez,Berkun Oya,Kanal D,['Dram'],0,1,0,0,0,0,0,D Productions,"Kerem Bürsin,Şükrü Özyıldız",120,Salvatore Riccardi,1,0,0,Başarısız
587,Şimdi Onlar Düşünsün,2014,18,1,Süleyman Seçik,Oktay Berber,TRT 1,['Komedi'],0,0,1,0,0,0,0,Medyalab Yapım,"Şafak Sezer,Açalya Samyeli Danoğlu,Gökçe Özyol",100,Cem Erman,0,0,0,Başarısız
588,Ulan İstanbul,2014,39,1,Murat Onbul,Uğraş Güneş,Kanal D,"['Aksiyon', 'Komedi', 'Macera', 'Aşk']",0,0,1,1,0,0,1,D Productions,"Uğur Polat,Şebnem Bozoklu,Erkan Kolçak Köstendil,Kaan Yıldırım,Sevtap Özaltun,Salih Bademci",115,Unknown,0,1,0,Başarısız
589,Yedi Güzel Adam,2014,39,2,Adnan Güler,Nevin Şahin,TRT 1,"['Tarihi', 'Gençlik', 'Aşk', 'Dram']",0,1,0,0,0,0,1,Pusula Film,"Uraz Kaygılaroğlu,Baran Akbulut,Yıldız Çağrı Atiksoy,Kemal Uçar,Orhan Kanalp,Mertcan Sevimli,Yiğit Çakır,Çağdaş Tekin",100,Engin Bayrak,0,0,0,Kısmen Başarılı
590,Yedikule Hayat Yokuşu,2014,30,2,Özer Kızıltan,Kalemİşi,TRT 1,['Aile'],1,0,0,0,0,0,0,Sonart Medya,"Asuman Dabak,Elvan Boran,Atilla Pakdemir,Şener Savaş,Nebil Sayın",50,Unknown,0,0,0,Kısmen Başarılı
591,Yeşil Deniz,2014,75,2,Yahya Samancı,Ali Karaİdris Meydi,TRT 1,"['Romantik komedi', 'Dram']",0,1,1,0,0,0,1,TFT Yapım,"Burak Serdar Şanal,Mert Turak,Burak Alkaş,Ali Barkın,Melis Babadağ,Öykü Çelik",120,Tuna Hizmetli,0,0,0,Kısmen Başarılı
592,Yetim Gönüller,2014,16,1,Yıldız Aşanboğa,Özlem Gürsoy,Samanyolu TV,"['Dram', 'Aşk']",0,1,0,0,0,0,1,Ser Film,"Yağmur Ün,Gürkan Günal",100,Günay Uysal,0,0,0,Başarısız
593,Yılanların Öcü,2014,49,2,Cemal Şan,Makbule Kosif,Show TV,['Dram'],0,1,0,0,0,0,0,Koliba Film,"Cemal Toktaş,Hande Soral,Ahmet Varlı,Gözde Çığacı,Nail Kırmızıgül,Mehmet Atay,Gonca Yakut,Rüçhan Çalışkur",110,Kalan Müzik,0,0,0,Kısmen Başarılı
594,Zeytin Tepesi,2014,7,1,Barış Yöş,Gülnaz Yöş Saraçoğlu,Kanal D,"['Dram', 'Gerilim', 'Aşk']",0,1,0,1,0,0,1,MF Yapım,"Aslıhan Gürbüz,Tayanç Ayaydın",100,Unknown,0,0,0,Başarısız
595,20 Dakika,2013,25,1,Ali Bilgin,Pınar Bulut,Star TV,"['Dram', 'Aksiyon']",0,1,0,1,0,0,0,Ay Yapım,"Tuba Büyüküstün,İlker Aksum,Fırat Çelik,Bülent Emin Yarar,Müjde Uzman,İpek Bilgin,Ayten Uncuoğlu,Cihat Tamer,Metin Çekmez",90,Toygar Işıklı,1,0,0,Başarısız
596,Arkadaşım Hoşgeldin,2013,39,2,Ebru Yalçın,Fırat Doğu Parlak,Kanal D,['Komedi'],0,0,1,0,0,0,0,BKM,"Tolga Çevik,Ezgi Mola,Özer Atik,Fırat Doğu Parlak",90,Özer Atik,0,1,1,Kısmen Başarılı
597,A.Ş.K.,2013,13,1,Ömür Atay,Nuran Evren Şit,Kanal D,"['Aşk', 'Drama']",0,1,0,0,0,0,1,Gold Film,"Nebahat Çehre,Hazal Kaya,Hakan Kurtaş,Kaan Urgancıoğlu,Aslı Tandoğan,Erkan Can",100,Unknown,0,1,0,Başarısız
598,Aşkın Bedeli,2013,418,3,Canan Evcimen,Ali Alpgezmen,Star TV,"['Aile', 'Aşk', 'Dram']",1,1,0,0,0,0,1,Düş Gezginleri Film,"Zeynep Aydemir,Arda Öziri,Deniz Bolışık,Ali Mert Yavuzcan",60,Uğur Akyürek,0,0,0,Başarılı
599,Adını Kalbime Yazdım,2013,16,1,Unknown,Unknown,Show TV,['unknown'],0,1,0,0,0,0,1,Unknown,"Tolga Güleç,Meltem Miraloğlu,Erkam Aydar",110,Unknown,0,0,0,Başarısız
600,Aldırma Gönül,2013,9,1,Hakan Algül,Meriç Demiray,atv,"['Komedi', 'Sit-com']",0,0,1,0,0,0,0,BKM,"Şahin Irmak,Tülin Özen,Nadir Sarıbacak,Çağlar Çorumlu",83,Unknown,0,0,0,Başarısız
601,Ali Ayşe'yi Seviyor,2013,19,1,Bora Onur,Meskun Mahal,FOX,['Komedi'],0,0,0,0,0,0,0,NTC Medya,"Hakan Yılmaz,Suat Sungur,Feyza Işık,Kayhan Yıldızoğlu,Su Kutlu,Bihter Özdemir Dinçel,Kerem Kupacı,Erdem Baş,Gülhan Tekin,Gökhan Özyol",98,Unknown,0,0,0,Başarısız
602,Aramızda Kalsın,2013,52,2,Hatice Memiş,Selin Tunç,Star TV,"['Aile', 'Dram', 'Komedi']",1,1,1,0,0,0,0,TMC Film,"Uğur Yücel,Binnur Kaya,Gökçe Bahadır,Caner Cindoruk,Cengiz Bozkurt,Ayça Damgacı,Uğur Serhan,Bilge Şen,Hikmet Körmükçü,Gamze Karaduman,Ferit Aktuğ,Ecem Çalık,Mert Kurdal,Mutlu Güney,Tülay Bursa,Melis Mutluç,Aybars Kartal Özson,Özge Özpirinçci,Mesut Özkeçeci",80,Aytuğ Yargıç,0,1,0,Kısmen Başarılı
603,Aşk Ekmek Hayaller,2013,10,1,Abdullah Oğuz,Unknown,Show TV,['Dram'],0,1,0,0,0,0,0,ANS Productions,"Müjde Ar,Burak Hakkı,Berna Laçin,Sinan Tuzcu,İrem Altuğ,Nihal Menzil,Ali İpin,Ayça Eren,Nebil Sayın,Alara Uncu,Deniz Baysal,Alican Özakoğlu,Furkan Andıç,Dilek Demir,Barış Hacıhan,Efe Karaman,Elif Merve Çolak,Begüm Çetinkaya,Sudenaz Akkoyun,Leyla Köse,Pelin Buse Gökçek,Kaan Ürkmez,Aydan Çakır",80,Cenk Şanlıoğlu,0,0,0,Başarısız
604,Babam Sınıfta Kaldı,2013,23,1,Kartal Çidamlı,Gani Müjde,FOX,"['Komedi', 'Gençlik']",0,0,1,0,0,0,0,Tükenmezkalem Film,"Cem Davran,Melis Tüzüngüç,Mesut Yar,Defne Samyeli",98,Unknown,0,0,0,Başarısız
605,Bebek İşi,2013,34,1,Tolga Karaçelik,Murat Gürvardar,Show TV,['Komedi'],0,0,1,0,0,0,0,Limon Film,"Nurgül Yeşilçay,Timur Acar",80,Barış Aryay,0,0,0,Başarısız
606,Ben de Özledim,2013,13,1,Onur Ünlü,Burak Aksak,Star TV,['Absürt komedi'],0,0,1,0,0,0,0,Eflatun Film,"Ali Atay,Serkan Keskin,Osman Sonant",70,Unknown,0,0,0,Başarısız
607,Beni Böyle Sev,2013,89,3,Cem Tabak,Hakan Haksun,TRT 1,"['Aşk', 'Gençlik', 'Romantik komedi']",0,0,1,0,0,0,1,BSK Yapım,"Alper Saldıran,Zeynep Çamcı,Burcu Altın,Bala Atabek,Umut Kurt,Eda Ece,Ozan Osmanpaşaoğlu,Mert Turak,Burcu Biricik,Yusuf Akgün,Selen Uçer,Fatih Koyunoğlu,Meral Asiltürk,Serkan Çayoğlu,Altan Gördüm,Lale Mansur,Güven Kıraç,Zafer Algöz",110,Unknown,0,0,0,Başarılı
608,Ben Onu Çok Sevdim,2013,15,1,Mehmet Bahadır Er,Unknown,atv,"['Dram', 'Politik']",0,1,0,0,0,0,0,Pana Film,"Mehmet Aslantuğ,İdil Fırat,Birce Akalay,Şemsi İnkaya,Rıza Akın,Erdinç Gülener,Mehmetcan Mincinozlu,Savaş Zafer,Ege Aydan,Kerem Alışık,Devrim Yakut",90,Unknown,0,1,0,Başarısız
609,Benim Hala Umudum var,2013,33,1,Nisan Akman,Deniz Akçay,Star TV ,"['Aşk', 'Drama']",0,1,0,0,0,0,1,Gold Film,"Gizem Karaca,Berk Oktay,Şükrü Özyıldız",90,Unknown,0,0,0,Başarısız
610,Bir Aşk Hikâyesi,2013,36,1,Barış Yöş,Makbule Kosif,FOX,"['Aşk', 'Dram']",0,1,0,0,0,0,1,MF Yapım,"Seçkin Özdemir,Damla Sönmez",110,Firat Yukselir,0,0,0,Başarısız
611,Bir Yastıkta,2013,14,1,Ömer Uğur,Cüneyt İnay,TRT 1,"['Komedi','Aile']",1,0,1,0,0,0,0,TRT,"Özge Borak,Bülent Emrah Parlak,Erdal Tosun,Suzan Aksoy,Seray Gözler Yeniay,Sinan Çalışkanoğlu,Boncuk Yılmaz,Turan Cihan Şimşek",74,Cem Erman,0,0,0,Başarısız
612,Bizim Okul,2013,7,1,Yaşar Seriner,Resul Ertaş,atv,['Komedi'],0,0,1,0,0,0,0,Erler Film,"Zeki Alasya,Cezmi Baskın,Levent Ülgen,Pınar Aydın,Tülin Oral",90,Unknown,0,0,0,Başarısız
613,Bugünün Saraylısı,2013,36,2,Bahadır İnce,Unknown,atv,['Drama'],0,1,0,0,0,0,1,Unknown,"Selçuk Yöntem,Barış Arduç,Cansu Tosun,Serhat Teoman",100,Unknown,0,1,0,Kısmen Başarılı
614,Cesur Hemşire,2013,9,1,Bora Onur,Haluk Özgenç,atv,['Komedi'],0,0,1,0,0,0,0,NTC Medya,"Hakan YIlmaz,Şebnem Bozoklu,Yeliz Şar,Tuluğ Çizgen,Sezai Aydın,Çağlar Çorumlu,Alina Boz,Elif Verit,Bülent Çelik,Tuhi Sarı",83,Unknown,0,0,0,Başarısız
615,Çalıkuşu,2013,30,1,Çağan Irmak,Sevgi Yılmaz,Kanal D,['Drama'],0,1,0,0,0,0,1,Tims Productions,"Fahriye Evcen,Burak Özçivit",100,Unknown,0,0,0,Başarısız
616,Çocuklar Duymasın,2013,160,1,Bora Tekay,Birol Güven,FOX,"['Komedi', 'Aile']",1,0,1,0,0,0,0,Unknown,"Tamer Karadağlı,Pınar Altuğ,Furkan Kızılay,Zeyno Günenç,Volkan Severcan,Bengisu Özenel",120,Aydın Sarman,0,1,0,Başarısız
617,Doksanlar,2013,43,1,Mesude Erarslan,Yıldız Tunç,atv,"['Komedi', 'Drama', 'Romantik']",0,1,1,0,0,0,1,MinT Motion Pictures,"Renan Bilek,Gamze Gözalan,Arif Erkin Güzelbeyoğlu,Beste Bereket,Atılay Uluışık,Açelya Akkoyun,Erkan Köse,Esra Dermancıoğlu,Deniz Oral,Derya Şensoy",130,Erol Mutlu,0,0,0,Başarısız
618,Emret Komutanım Yeniden,2013,30,1,Sarp Levendoğlu,Alper Erze,Kanaltürk,"['Aksiyon', 'Askeri', 'Komedi']",0,0,1,1,1,0,0,Unknown,"Serdar Özer,Didem Reze,Naci Taşdöğen,Bilal Çatalçekiç",0,Unknown,0,0,0,Başarısız
619,Eski Hikâye,2013,17,1,Bahadır İnce,Levent Cantek,TRT 1,['Dram'],0,1,0,0,0,0,0,ARC Film,"Buğra Gülsoy,Funda Eryiğit,Murat Daltaban,Damla Debre,Sermet Yeşil,Ali Barkın,Osman Alkaş,Tayfun Eraslan,Ferda Işıl,Songül Sevdik,Sinan Demirer,Diren Polatoğulları,Mehmet Esen,Sedef Akalın",100,Unknown,0,0,0,Başarısız
620,Fatih,2013,5,1,Merve Girgin,Pınar Uysal,Kanal D,"['Drama', 'Tarihî']",0,1,0,0,0,1,1,Medyapım,"Mehmet Akif Alakurt,Gamze Özçelik,Seda Akman,Dağhan Külegeç,Hande Soral,Birkan Sokullu,Salih Bademci,Müjde Uzman,İbrahim Selim,Furkan Şentürk",84,Unknown,0,1,0,Başarısız
621,Fatih Harbiye,2013,50,2,Sadullah Celen,Hayriye Ersöz,FOX,"['Dram', 'Romantik']",0,1,0,0,0,0,1,Koliba Film,"Kadir Doğulu,Neslihan Atagül,Yunus Emre Yıldırımer",120,Murat Uncuoğlu,0,0,0,Kısmen Başarılı
622,Galip Derviş,2013,56,3,Barış Pirhasan,Andy Breckman,Kanal D,"['Komedi', 'Dram', 'Polisiye']",0,1,1,1,1,0,0,Barakuda FilmNBC Universal,"Engin Günaydın,Algı Eke,Ersin Korkut,Orhan Güner",70,Tolga Çebi,0,1,0,Başarılı
623,Gönül Hırsızı,2013,19,1,Ayhan Özen,Hasan Kaçan,TRT 1,"['Romantik komedi', 'Dram', 'Gerilim']",0,1,1,1,0,0,1,Tekden Film,"Cem Kılıç,Tuğçe Kazaz",120,Erhan Güleryüz,0,0,0,Başarısız
624,Görüş Günü Kadınları,2013,10,1,Unknown,Unknown,FOX,['Drama'],0,1,0,0,0,0,1,Unknown,"Nesrin Cavadzade,Şenay Gürler,Yıldız Çağrı Atiksoy,Kemal Uçar",98,Unknown,0,0,0,Başarısız
625,Gurbette Aşk Bir Yastıkta,2013,26,1,Unknown,Unknown,TRT 1,['Komedi'],0,0,1,0,0,0,0,Unknown,"Wilma Elles,Müge Boz,Serhat Özcan,Gökhan Alkan",74,Unknown,0,0,0,Başarısız
626,Güneşi Beklerken,2013,54,1,Altan Dönmez,Gökhan Horzum,Kanal D,"['Gençlik', 'Drama']",0,1,0,0,0,0,1,D Productions,"Emre Kınay,Hande Doğandemir,Kerem Bürsin,Yağmur Tanrısevsin,İsmail Ege Şaşmaz,Ebru Aykaç",120,Unknown,1,0,0,Başarısız
627,Güzel Çirkin,2013,13,1,Kemal Uzun,Rüya İşçileri,Kanal D,"['Polisiye', 'Macera', 'Suç', 'Komedi', 'Gizem']",0,0,1,1,1,0,0,Erler Film,Naz ElmasAli SunalCahit GökMihriban ErAli İpinNazan DiperMehmet ÇevikPamir PekinGözde TürkpençeKamil Güler,90,Unknown,0,0,0,Başarısız
628,Her Şey Yolunda,2013,23,1,Ömer Uğur,Caner Güler,Show TV,"['Polisiye', 'Komedi']",0,0,1,1,1,0,0,Limon Film,İpek TuzcuoğluBülent AlkışAslıhan GünerBurçin AbdullahBora AkkaşGökhan AlkanAykut TaşkınBerk AtanArzu OruçBarış ÇelikkolEmre BüyükpınarFerzan HekimoğluMelisa TorosCezmi BaskınMurat AkkoyunluTuğçe Kurşunluoğlu,100,Unknown,0,0,0,Başarısız
629,Hıyanet Sarmalı,2013,35,1,Taner Tunç,Ahmet Tezcan,Samanyolu TV,"['Dram', 'Aksiyon']",0,1,0,1,0,0,0,Ser Film,Ali BaşarEmre TaşkıranCem Uçan,100,Tamer Çıray,0,0,0,Başarısız
630,İnadına Yaşamak,2013,6,1,Serdar Akar,Serdar Oğuz,Kanal D,"['Dram', 'Romantik']",0,1,0,0,0,0,1,Süreç Film,Sanem ÇelikOktay KaynarcaMurat Ünalmış,110,Unknown,0,0,0,Başarısız
631,İntikam,2013,44,2,Çağrı Vila Lostuvalı ,Berkun Oya,Kanal D,"['Aksiyon', 'Drama']",0,1,0,1,0,0,1,Unknown,Beren SaatNejat İşlerYiğit ÖzşenerMert Fırat,90,Unknown,0,0,0,Kısmen Başarılı
632,Kaçak,2013,52,2,Volkan Kocatürk,Zülküf Yücel,atv,"['Polisiye', 'Aksiyon', 'Macera', 'Mafya']",0,0,0,1,1,0,0,Süreç Film,"Gürkan Uygun,Hasan Küçükçetin,İnanç Konukçu,Berk Hakman,Mustafa Avkıran,Begüm Birgören,Burak Deniz,Haluk Bilginer,Yağmur Tanrısevsin",100,Unknown,0,1,0,Kısmen Başarılı
633,Kahireli Palas,2013,50,1,Unknown,Unknown,FOX,"['Dram', 'Romantik']",0,1,0,0,0,0,1,Unknown,"Rıdvan Aybars Düzey,Melda Arat",98,Unknown,0,0,0,Başarısız
634,Karagül,2013,125,4,Murat Saraçoğlu,Sema Ergenekon,FOX,"['Dram', 'Gerilim', 'Aksiyon', 'Macera']",0,1,0,1,0,0,0,Avşar Film,Ece UsluYavuz BingölÖzlem ConkerMesut AkustaOgün KaptanoğluHilal AltınbilekŞerif Sezer,130,Fırat Yükselir,0,0,0,Başarılı
635,Kayıp,2013,18,1,Zeynep Günay,Elif Usman,Kanal D,"['Dram', 'Gerilim', 'Polisiye']",0,1,0,1,1,0,0,D Productions,"Mete Horozoğlu,Aslı Enver,İlker Kaleli,Kaan Taşaner,Dolunay Soysert",100,Unknown,0,1,0,Başarısız
636,Küçük Gelin,2013,92,3,Naci Çelik Berksoy,Alev Toprakoğlu,Samanyolu TV,"['Aile', 'Dram']",1,1,0,0,0,0,0,Ser Film,"Çağla Şimşek,Gözde Mukavelat,Orhan Şimşek,Bengi Öztürk Akkaya,Arda Esen,Ufuk Şen,Sema Aybars,Ali Çakalgöz,Arif Selçuk,Melda Arat,Devrim Atmaca",105,Galata,0,0,0,Başarılı
637,Medcezir,2013,77,2,Ali Bilgin,Ece Yörenç,Star TV,"['Gençlik', 'Drama']",0,1,0,0,0,0,1,Ay Yapım,"Çağatay Ulusoy,Serenay Sarıkaya",110,Unknown,1,1,0,Kısmen Başarılı
638,Merhamet,2013,44,2,Çağatay Tosun,Mahinur Ergun,Kanal D,['Dram'],0,1,0,0,0,0,0,Most Production,"Özgü Namal,İbrahim Çelikkol,Mustafa Üstündağ,Burçin Terzioğlu,Yasemin Allen",95,Unknown,1,1,0,Kısmen Başarılı
639,Osmanlı Tokadı,2013,37,2,Mustafa Şevki Doğan,Resul Ertaş,TRT 1,['Tarihî'],0,0,0,0,0,1,0,Unknown,"Uğur Çavuşoğlu,Alper Kul,İsmail Hacıoğlu,Vildan Atasever,Emir Benderlioğlu,Mazhar Alanson,Bertan Ceylan,Pelin Akil",74,Unknown,0,0,0,Kısmen Başarılı
640,Salih Kuşu,2013,10,1,Ersoy Güler,Gani Müjde,Show TV,['Komedi'],0,0,1,0,0,0,0,Süreç Film,"Levent Ülgen,Ayçin İnci,Goncagül Sunar,Bekir Aksoy,Murat Eken",100,Unknown,0,0,0,Başarısız
641,Sana Bir Sır Vereceğim,2013,29,1,Cevriye Demir,Ethem Özışık,FOX,"['Aile', 'Drama', 'Fantastik']",1,1,0,0,0,0,1,Scor Films,"Murat Han,Esra Ronabar,Ekin Koç,Demet Özdemir",75,Unknown,0,0,0,Başarısız
